Alcaldía,Fecha,Predicción de Delitos
CUAUHTEMOC,2024-01-01,59
CUAUHTEMOC,2024-01-02,67
CUAUHTEMOC,2024-01-03,65
CUAUHTEMOC,2024-01-04,65
CUAUHTEMOC,2024-01-05,71
CUAUHTEMOC,2024-01-06,76
CUAUHTEMOC,2024-01-07,72
CUAUHTEMOC,2024-01-08,82
CUAUHTEMOC,2024-01-09,82
CUAUHTEMOC,2024-01-10,74
CUAUHTEMOC,2024-01-11,79
CUAUHTEMOC,2024-01-12,71
CUAUHTEMOC,2024-01-13,69
CUAUHTEMOC,2024-01-14,59
CUAUHTEMOC,2024-01-15,64
CUAUHTEMOC,2024-01-16,74
CUAUHTEMOC,2024-01-17,61
CUAUHTEMOC,2024-01-18,63
CUAUHTEMOC,2024-01-19,67
CUAUHTEMOC,2024-01-20,66
CUAUHTEMOC,2024-01-21,65
CUAUHTEMOC,2024-01-22,67
CUAUHTEMOC,2024-01-23,67
CUAUHTEMOC,2024-01-24,67
CUAUHTEMOC,2024-01-25,78
CUAUHTEMOC,2024-01-26,78
CUAUHTEMOC,2024-01-27,70
CUAUHTEMOC,2024-01-28,75
CUAUHTEMOC,2024-01-29,66
CUAUHTEMOC,2024-01-30,68
CUAUHTEMOC,2024-01-31,68
CUAUHTEMOC,2024-02-01,71
CUAUHTEMOC,2024-02-02,72
CUAUHTEMOC,2024-02-03,66
CUAUHTEMOC,2024-02-04,67
CUAUHTEMOC,2024-02-05,70
CUAUHTEMOC,2024-02-06,72
CUAUHTEMOC,2024-02-07,69
CUAUHTEMOC,2024-02-08,68
CUAUHTEMOC,2024-02-09,71
CUAUHTEMOC,2024-02-10,65
CUAUHTEMOC,2024-02-11,73
CUAUHTEMOC,2024-02-12,69
CUAUHTEMOC,2024-02-13,70
CUAUHTEMOC,2024-02-14,74
CUAUHTEMOC,2024-02-15,71
CUAUHTEMOC,2024-02-16,68
CUAUHTEMOC,2024-02-17,69
CUAUHTEMOC,2024-02-18,69
CUAUHTEMOC,2024-02-19,69
CUAUHTEMOC,2024-02-20,64
CUAUHTEMOC,2024-02-21,68
CUAUHTEMOC,2024-02-22,70
CUAUHTEMOC,2024-02-23,71
CUAUHTEMOC,2024-02-24,70
CUAUHTEMOC,2024-02-25,64
CUAUHTEMOC,2024-02-26,65
CUAUHTEMOC,2024-02-27,61
CUAUHTEMOC,2024-02-28,65
CUAUHTEMOC,2024-02-29,67
CUAUHTEMOC,2024-03-01,66
CUAUHTEMOC,2024-03-02,61
